Summary,Issue Type,Priority,Status,Story Points,Sprint,Epic Link,Description,Assignee,Labels
"Migrate Dokka V1 to V2",Task,High,Done,5,Infrastructure-Sprint-W05,EPIC-001,"Update gradle.properties with V2 flags, remove V1-specific configurations",,"build-system,kotlin,technical-debt"
"Fix ProGuard compatibility with Ktor",Task,High,Done,5,Infrastructure-Sprint-W05,EPIC-001,"Add ktor-client-okhttp dependency, update ProGuard rules for kotlinx.serialization",,"build-system,kotlin,proguard"
"Add multiplatform targets (macOS/Linux/Windows)",Task,Medium,Done,3,Infrastructure-Sprint-W05,EPIC-001,"Configure linuxMain and mingwMain source sets with proper HTTP clients",,"kotlin,multiplatform"
"Create docker-compose.enhanced-lite.yml",Task,High,Done,8,Infrastructure-Sprint-W05,EPIC-002,"12-service Docker Compose with Prometheus, Grafana, Loki, cAdvisor",,"infrastructure,docker"
"Configure Nginx reverse proxy",Task,High,Done,5,Infrastructure-Sprint-W05,EPIC-002,"Set up load balancing to backend and PocketBase, health checks",,"infrastructure,nginx"
"Set up Redis cache and queue",Task,Medium,Done,3,Infrastructure-Sprint-W05,EPIC-002,"Deploy Redis 7 with persistence, configure exporter",,"infrastructure,redis"
"Implement Docker health checks",Task,Medium,Done,5,Infrastructure-Sprint-W05,EPIC-002,"Add health check configurations for all 12 services",,"infrastructure,monitoring"
"Deploy Prometheus metrics collection",Task,High,Done,8,Infrastructure-Sprint-W05,EPIC-003,"Configure scrape targets for all services, 815 metrics collecting",,"observability,prometheus"
"Deploy Grafana dashboards",Task,High,Done,8,Infrastructure-Sprint-W05,EPIC-003,"Set up Grafana with auto-provisioned datasources (Prometheus + Loki)",,"observability,grafana"
"Deploy Loki log aggregation",Task,Medium,Done,8,Infrastructure-Sprint-W05,EPIC-003,"Configure Loki for centralized logging, 7-day retention",,"observability,loki"
"Add Node Exporter for system metrics",Task,Low,Done,3,Infrastructure-Sprint-W05,EPIC-003,"Deploy Node Exporter to collect CPU, memory, disk, network metrics",,"observability,metrics"
"Add cAdvisor for container metrics",Task,Low,Done,3,Infrastructure-Sprint-W05,EPIC-003,"Deploy cAdvisor to monitor per-container resource usage",,"observability,metrics"
"Configure Grafana datasources",Task,Medium,Done,4,Infrastructure-Sprint-W05,EPIC-003,"Auto-provision Prometheus and Loki datasources in Grafana",,"observability,grafana"
"Write comprehensive setup guides",Task,Medium,Done,5,Infrastructure-Sprint-W05,EPIC-004,"Create FULL_STACK_GUIDE.md (13,000 words) and OPTION_B_WALKTHROUGH.md (11,000 words)",,"documentation"
"Create operational runbooks",Task,Low,Done,3,Infrastructure-Sprint-W05,EPIC-004,"Document common operations: start, stop, troubleshoot, scale",,"documentation"
"Document system architecture",Task,Medium,Done,3,Infrastructure-Sprint-W05,EPIC-004,"Create architecture diagrams and service interaction docs",,"documentation,architecture"
"Export JIRA/Notion project data",Task,Low,Done,2,Infrastructure-Sprint-W05,EPIC-004,"Generate CSV imports and formatted Notion pages",,"documentation,project-management"
"Fix Nginx health check (404 error)",Task,High,To Do,2,Infrastructure-Sprint-W05,EPIC-005,"Deploy frontend or configure default route in Nginx",,"bug,infrastructure"
"Create custom Grafana dashboards",Task,High,To Do,3,Infrastructure-Sprint-W05,EPIC-005,"Build dashboards for Backend API, PocketBase, User Activity, Errors",,"observability,grafana"
"Set up k6 load testing",Task,Medium,To Do,2,Infrastructure-Sprint-W05,EPIC-005,"Install k6, create baseline/spike/stress test scripts",,"testing,performance"
"Prepare AWS staging deployment",Task,Medium,To Do,1,Infrastructure-Sprint-W05,EPIC-005,"Review STAGING_DEPLOYMENT_GUIDE.md, gather AWS credentials",,"deployment,aws"
