Issue Type,Summary,Description,Priority,Status,Estimate (hours),Tags,Milestone,Dependencies,Created Date
Task,"Implement RootComponent Navigation","Implement full Decompose navigation in RootComponent with child components for Auth, Onboarding, and Home flows. File: composeApp/src/commonMain/kotlin/love/bside/app/routing/RootComponent.kt",critical,todo,8,"navigation, decompose, architecture",milestone:m1,"",2025-12-05
Task,"Define Navigation Graph","Create navigation graph defining Auth → Onboarding → Home flow with proper state management and sealed class configuration",high,todo,4,"navigation, architecture",milestone:m1,"task:nav-001",2025-12-05
Task,"Create Child Components","Create AuthComponent, OnboardingComponent, HomeComponent with proper lifecycle management",high,todo,8,"navigation, decompose, components",milestone:m1,"task:nav-002",2025-12-05
Task,"Bottom Navigation Setup","Wire up bottom navigation tabs: Discover, Matches, Messages, Profile with proper state preservation",high,todo,6,"navigation, ui",milestone:m1,"task:nav-003",2025-12-05
Task,"Deep Link Handling","Handle deep links for password reset, email verification, and shared profiles",medium,todo,4,"navigation, deeplinks",milestone:m1,"task:nav-003",2025-12-05
Task,"Complete Login Integration","Complete login screen integration with PocketBase authentication via the Ktor backend. Wire up LoginUseCase with proper error handling.",critical,todo,4,"auth, pocketbase, login",milestone:m1,"",2025-12-05
Task,"Complete Signup Flow","Multi-step signup flow with email, password, and basic profile info. Connect SignUpUseCase to PocketBase user creation.",critical,todo,8,"auth, signup, pocketbase",milestone:m1,"task:auth-001",2025-12-05
Task,"Email Verification Handling","Handle email verification flow including deep link handling and verification status UI",high,todo,4,"auth, email, verification",milestone:m1,"task:auth-002",2025-12-05
Task,"Password Reset Flow","Implement forgot password and password reset flow with PocketBase",medium,todo,4,"auth, password, reset",milestone:m1,"task:auth-001",2025-12-05
Task,"Biometric Enrollment UI","Complete biometric enrollment UI for Face ID/Touch ID opt-in during and after login",medium,todo,6,"auth, biometric, security",milestone:m1,"task:auth-001",2025-12-05
Task,"Session Persistence & Auto-Login","Implement session persistence with secure storage and auto-login on app restart",high,todo,4,"auth, session, persistence",milestone:m1,"task:auth-001",2025-12-05
Task,"Profile Creation Wizard","Multi-step profile creation wizard collecting: firstName, lastName, birthDate, bio, seeking status. Uses s_profiles PocketBase collection.",critical,todo,12,"onboarding, profile, wizard",milestone:m1,"task:auth-002; task:nav-003",2025-12-05
